crop,class,label,image_count
cashew,anthracnose,cashew|anthracnose,1729
cashew,gummosis,cashew|gummosis,392
cashew,healthy,cashew|healthy,1368
cashew,leaf_miner,cashew|leaf_miner,1378
cashew,red_rust,cashew|red_rust,1682
cassava,bacterial_blight,cassava|bacterial_blight,2614
cassava,brown_spot,cassava|brown_spot,1481
cassava,green_mite,cassava|green_mite,1015
cassava,healthy,cassava|healthy,1193
cassava,mosaic,cassava|mosaic,1205
maize,fall_armyworm,maize|fall_armyworm,285
maize,grasshopper,maize|grasshopper,673
maize,healthy,maize|healthy,204
maize,leaf_beetle,maize|leaf_beetle,933
maize,leaf_blight,maize|leaf_blight,990
maize,leaf_spot,maize|leaf_spot,1239
maize,streak_virus,maize|streak_virus,965
tomato,healthy,tomato|healthy,466
tomato,leaf_blight,tomato|leaf_blight,1288
tomato,leaf_curl,tomato|leaf_curl,511
tomato,septoria_leaf_spot,tomato|septoria_leaf_spot,2743
tomato,verticillium_wilt,tomato|verticillium_wilt,772
