path,crop,class,label,sha256,dhash,width,height,bytes,error
Maize healthy/healthy189_.jpg,maize,healthy,maize|healthy,,,,,49330,OSError: broken data stream when reading image file
Maize healthy/healthy18_.jpg,maize,healthy,maize|healthy,,,,,59104,UnidentifiedImageError: cannot identify image file '/root/.cache/kagglehub/datasets/nirmalsankalana/crop-pest-and-disease-detection/versions/1/Maize healthy/healthy18_.jpg'
Maize healthy/healthy87_.jpg,maize,healthy,maize|healthy,,,,,45663,OSError: broken data stream when reading image file
Maize healthy/healthy88_.jpg,maize,healthy,maize|healthy,,,,,45744,UnidentifiedImageError: cannot identify image file '/root/.cache/kagglehub/datasets/nirmalsankalana/crop-pest-and-disease-detection/versions/1/Maize healthy/healthy88_.jpg'
Maize leaf beetle/leaf beetle206_.jpg,maize,leaf_beetle,maize|leaf_beetle,,,,,29677,OSError: broken data stream when reading image file
Maize leaf beetle/leaf beetle207_.jpg,maize,leaf_beetle,maize|leaf_beetle,,,,,30685,UnidentifiedImageError: cannot identify image file '/root/.cache/kagglehub/datasets/nirmalsankalana/crop-pest-and-disease-detection/versions/1/Maize leaf beetle/leaf beetle207_.jpg'
Maize leaf beetle/leaf beetle208_.jpg,maize,leaf_beetle,maize|leaf_beetle,,,,,29248,OSError: Truncated File Read
Maize leaf beetle/leaf beetle326_.jpg,maize,leaf_beetle,maize|leaf_beetle,,,,,20228,UnidentifiedImageError: cannot identify image file '/root/.cache/kagglehub/datasets/nirmalsankalana/crop-pest-and-disease-detection/versions/1/Maize leaf beetle/leaf beetle326_.jpg'
Maize leaf beetle/leaf beetle457_.jpg,maize,leaf_beetle,maize|leaf_beetle,,,,,44587,OSError: broken data stream when reading image file
Maize leaf beetle/leaf beetle458_.jpg,maize,leaf_beetle,maize|leaf_beetle,,,,,38585,UnidentifiedImageError: cannot identify image file '/root/.cache/kagglehub/datasets/nirmalsankalana/crop-pest-and-disease-detection/versions/1/Maize leaf beetle/leaf beetle458_.jpg'
Maize leaf beetle/leaf beetle572_.jpg,maize,leaf_beetle,maize|leaf_beetle,,,,,37936,OSError: broken data stream when reading image file
Maize leaf beetle/leaf beetle573_.jpg,maize,leaf_beetle,maize|leaf_beetle,,,,,31895,UnidentifiedImageError: cannot identify image file '/root/.cache/kagglehub/datasets/nirmalsankalana/crop-pest-and-disease-detection/versions/1/Maize leaf beetle/leaf beetle573_.jpg'
