path,crop,class,label,sha256,dhash,width,height,bytes,error,duplicate_group
Cashew red rust/red rust1345_.jpg,cashew,red_rust,cashew|red_rust,de10fef561d3d8a29b89c6e9c345511ff87b45ded0e3a54fb32fa6889a53a93d,9878f070b97c3ebc,400.0,400.0,96983,,g005249
Cashew red rust/red rust1681_.jpg,cashew,red_rust,cashew|red_rust,de10fef561d3d8a29b89c6e9c345511ff87b45ded0e3a54fb32fa6889a53a93d,9878f070b97c3ebc,400.0,400.0,96983,,g005249
Cassava bacterial blight/bacterial blight1125_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,b8af35593a97defd13cecdccdb7e635583f0faf6d6f151d2955148eaff212d6c,1313c5cd6b7d7d5f,400.0,400.0,39119,,g006687
Cassava bacterial blight/bacterial blight1190_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,79c5f565f13152f857eb2e3b7bcb9cb077033ab4c7eac5c8e50dd01e1ef42b04,8383a70cbdfb762c,400.0,400.0,54376,,g006759
Cassava bacterial blight/bacterial blight1206_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,76e085571ac10d84de951ac3681878bc18c08e777c28e169d80e9a1983499fe7,e3cb3b69cd70f0dc,400.0,400.0,39497,,g006777
Cassava bacterial blight/bacterial blight1223_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,37cfb5f895bbe7ce66b0fa6284d902a17be592ff29b19f64bed1e794cd59f95e,66d2f66e7c3c1c98,400.0,400.0,39252,,g006796
Cassava bacterial blight/bacterial blight1226_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,56b151c0097d80055f4ab0a1465aa4a22e76e670d47bece7666d1d8780c63bd6,d3c1e2e2c8888ac2,400.0,400.0,48331,,g006799
Cassava bacterial blight/bacterial blight1251_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,99ec5a834e0bae454b4d5b2ee5fd85a0c398a1144cc99c7bff6137032760cc75,93928ae5f130c4ce,400.0,400.0,46279,,g006827
Cassava bacterial blight/bacterial blight1260_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,acde581b949b9b367ec565c85b1236f4699276c5dda24522c3451f8ba0ffc579,3b128bc18323070e,400.0,400.0,53161,,g006837
Cassava bacterial blight/bacterial blight1278_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,d8768b0d1aaafe7699e498059f68f5085062edb55f18942f4b213dfb77de5e92,676374680991131b,400.0,400.0,50514,,g006856
Cassava bacterial blight/bacterial blight1279_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,3c124f85f36572bc4b260349f211863a08edaa7bde15bfff9655f2a1ab42190c,fbfbfd2c6edadccc,400.0,400.0,61498,,g006857
Cassava bacterial blight/bacterial blight1280_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,1b5e6a42dad0ba61b31fc296ae57cd8d94d58d87b75f4af32ec375b7f00fcb8a,9399c762032367cd,400.0,400.0,55354,,g006859
Cassava bacterial blight/bacterial blight1281_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,a14cb7a02ad1f9a86180c7e36b5bc6668371d0c48e858096256c2671440bf4c1,c24e7e96b0b9c9c9,400.0,400.0,59560,,g006860
Cassava bacterial blight/bacterial blight1283_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,8da5a1b0f2d6412bf0083c4020abfbc4f71d6acd96d486703270d043d1a4cb14,39c3c32d33363e84,400.0,400.0,35793,,g006862
Cassava bacterial blight/bacterial blight1285_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,76e085571ac10d84de951ac3681878bc18c08e777c28e169d80e9a1983499fe7,e3cb3b69cd70f0dc,400.0,400.0,39497,,g006777
Cassava bacterial blight/bacterial blight1286_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,37cfb5f895bbe7ce66b0fa6284d902a17be592ff29b19f64bed1e794cd59f95e,66d2f66e7c3c1c98,400.0,400.0,39252,,g006796
Cassava bacterial blight/bacterial blight1287_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,56b151c0097d80055f4ab0a1465aa4a22e76e670d47bece7666d1d8780c63bd6,d3c1e2e2c8888ac2,400.0,400.0,48331,,g006799
Cassava bacterial blight/bacterial blight1288_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,99ec5a834e0bae454b4d5b2ee5fd85a0c398a1144cc99c7bff6137032760cc75,93928ae5f130c4ce,400.0,400.0,46279,,g006827
Cassava bacterial blight/bacterial blight1289_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,efd955164143412806898c76e63dd864519e788f868b4cd9ca7833be3a1ad80a,1b1231d87cbcfdfe,400.0,400.0,46069,,g006868
Cassava bacterial blight/bacterial blight1291_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,64b8690c4f91984e3b3bf8427a73c69ab5134974e5fd47507b928b2452b55e4a,b96e63696ce2e1f2,400.0,400.0,50594,,g006871
Cassava bacterial blight/bacterial blight1292_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,3f7b236571cb13c3da31274f8d505bef42ab23096280adb022ff5444801d2101,331c3565d991235b,400.0,400.0,44977,,g006872
Cassava bacterial blight/bacterial blight1293_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,7a223c21dfbc4bc04599ded2f136c1791289be7061ce76864f6135d0aecde49a,3e66414948eceac8,400.0,400.0,46365,,g006873
Cassava bacterial blight/bacterial blight1299_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,35bc0fc9cccf3a10bde0c838283a1c9c7fdbe9087a224a890e5e00270e7ff163,67814c6771683436,400.0,400.0,37087,,g006879
Cassava bacterial blight/bacterial blight1303_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,a28b063888d653ca05de7eb319694c1f3cceee10ba22f29cba9efed368405fbf,cec7c065453899f3,400.0,400.0,54871,,g006885
Cassava bacterial blight/bacterial blight1408_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,b8af35593a97defd13cecdccdb7e635583f0faf6d6f151d2955148eaff212d6c,1313c5cd6b7d7d5f,400.0,400.0,39119,,g006687
Cassava bacterial blight/bacterial blight145_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,3f7b236571cb13c3da31274f8d505bef42ab23096280adb022ff5444801d2101,331c3565d991235b,400.0,400.0,44977,,g006872
Cassava bacterial blight/bacterial blight150_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,7a223c21dfbc4bc04599ded2f136c1791289be7061ce76864f6135d0aecde49a,3e66414948eceac8,400.0,400.0,46365,,g006873
Cassava bacterial blight/bacterial blight1826_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,9ce3a3c29e0c0862d5c31ad1a92ab027e774ead4b5f251e9d9c45d450786decd,c2c8c63ebccc2c34,400.0,400.0,30788,,g007465
Cassava bacterial blight/bacterial blight1872_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,f2801fc4e74cd62503328391137c9b0b7d20bbaf8eb9d24f1c62e20969f292c0,61655e4ebcdcc831,400.0,400.0,59577,,g007516
Cassava bacterial blight/bacterial blight2237_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,971e1930c92e8a3c33c213a398881f253652e4d7b3a1376917a91e6a086a54a2,561e3e4c2939332b,400.0,400.0,41898,,g007921
Cassava bacterial blight/bacterial blight2238_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,ea0e7085045f004ce4a089658b329e68c2b4658d568ebf15c048547a35424602,0381618402414121,400.0,400.0,45971,,g007922
Cassava bacterial blight/bacterial blight320_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,35bc0fc9cccf3a10bde0c838283a1c9c7fdbe9087a224a890e5e00270e7ff163,67814c6771683436,400.0,400.0,37087,,g006879
Cassava bacterial blight/bacterial blight423_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,971e1930c92e8a3c33c213a398881f253652e4d7b3a1376917a91e6a086a54a2,561e3e4c2939332b,400.0,400.0,41898,,g007921
Cassava bacterial blight/bacterial blight424_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,ea0e7085045f004ce4a089658b329e68c2b4658d568ebf15c048547a35424602,0381618402414121,400.0,400.0,45971,,g007922
Cassava bacterial blight/bacterial blight87_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,efd955164143412806898c76e63dd864519e788f868b4cd9ca7833be3a1ad80a,1b1231d87cbcfdfe,400.0,400.0,46069,,g006868
Cassava bacterial blight/bacterial blight886_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,a28b063888d653ca05de7eb319694c1f3cceee10ba22f29cba9efed368405fbf,cec7c065453899f3,400.0,400.0,54871,,g006885
Cassava bacterial blight/bacterial blight893_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,9ce3a3c29e0c0862d5c31ad1a92ab027e774ead4b5f251e9d9c45d450786decd,c2c8c63ebccc2c34,400.0,400.0,30788,,g007465
Cassava bacterial blight/bacterial blight89_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,64b8690c4f91984e3b3bf8427a73c69ab5134974e5fd47507b928b2452b55e4a,b96e63696ce2e1f2,400.0,400.0,50594,,g006871
Cassava bacterial blight/bacterial blight923_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,d8768b0d1aaafe7699e498059f68f5085062edb55f18942f4b213dfb77de5e92,676374680991131b,400.0,400.0,50514,,g006856
Cassava bacterial blight/bacterial blight930_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,3c124f85f36572bc4b260349f211863a08edaa7bde15bfff9655f2a1ab42190c,fbfbfd2c6edadccc,400.0,400.0,61498,,g006857
Cassava bacterial blight/bacterial blight933_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,1b5e6a42dad0ba61b31fc296ae57cd8d94d58d87b75f4af32ec375b7f00fcb8a,9399c762032367cd,400.0,400.0,55354,,g006859
Cassava bacterial blight/bacterial blight934_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,f2801fc4e74cd62503328391137c9b0b7d20bbaf8eb9d24f1c62e20969f292c0,61655e4ebcdcc831,400.0,400.0,59577,,g007516
Cassava bacterial blight/bacterial blight936_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,a14cb7a02ad1f9a86180c7e36b5bc6668371d0c48e858096256c2671440bf4c1,c24e7e96b0b9c9c9,400.0,400.0,59560,,g006860
Cassava bacterial blight/bacterial blight945_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,8da5a1b0f2d6412bf0083c4020abfbc4f71d6acd96d486703270d043d1a4cb14,39c3c32d33363e84,400.0,400.0,35793,,g006862
