left_path,right_path,label,hamming_distance
Cashew anthracnose/anthracnose1373_.jpg,Cashew anthracnose/anthracnose1374_.jpg,cashew|anthracnose,2
Cashew anthracnose/anthracnose1380_.jpg,Cashew anthracnose/anthracnose1381_.jpg,cashew|anthracnose,2
Cashew anthracnose/anthracnose1398_.jpg,Cashew anthracnose/anthracnose1399_.jpg,cashew|anthracnose,3
Cashew anthracnose/anthracnose1422_.jpg,Cashew anthracnose/anthracnose1423_.jpg,cashew|anthracnose,3
Cashew anthracnose/anthracnose1540_.jpg,Cashew anthracnose/anthracnose1541_.jpg,cashew|anthracnose,3
Cashew anthracnose/anthracnose1560_.jpg,Cashew anthracnose/anthracnose1561_.jpg,cashew|anthracnose,4
Cashew anthracnose/anthracnose1576_.jpg,Cashew anthracnose/anthracnose1577_.jpg,cashew|anthracnose,4
Cashew anthracnose/anthracnose1577_.jpg,Cashew anthracnose/anthracnose1578_.jpg,cashew|anthracnose,3
Cashew anthracnose/anthracnose1583_.jpg,Cashew anthracnose/anthracnose1584_.jpg,cashew|anthracnose,4
Cashew anthracnose/anthracnose1585_.jpg,Cashew anthracnose/anthracnose1586_.jpg,cashew|anthracnose,4
Cashew anthracnose/anthracnose1606_.jpg,Cashew anthracnose/anthracnose1607_.jpg,cashew|anthracnose,3
Cashew anthracnose/anthracnose1606_.jpg,Cashew anthracnose/anthracnose1608_.jpg,cashew|anthracnose,1
Cashew anthracnose/anthracnose1607_.jpg,Cashew anthracnose/anthracnose1608_.jpg,cashew|anthracnose,2
Cashew anthracnose/anthracnose1614_.jpg,Cashew anthracnose/anthracnose1615_.jpg,cashew|anthracnose,3
Cashew anthracnose/anthracnose1618_.jpg,Cashew anthracnose/anthracnose1619_.jpg,cashew|anthracnose,4
Cashew anthracnose/anthracnose1625_.jpg,Cashew anthracnose/anthracnose1626_.jpg,cashew|anthracnose,3
Cashew anthracnose/anthracnose1633_.jpg,Cashew anthracnose/anthracnose1634_.jpg,cashew|anthracnose,3
Cashew anthracnose/anthracnose165_.jpg,Cashew anthracnose/anthracnose172_.jpg,cashew|anthracnose,4
Cashew anthracnose/anthracnose165_.jpg,Cashew anthracnose/anthracnose221_.jpg,cashew|anthracnose,3
Cashew anthracnose/anthracnose1684_.jpg,Cashew anthracnose/anthracnose1685_.jpg,cashew|anthracnose,4
Cashew gumosis/gumosis149_.jpg,Cashew gumosis/gumosis150_.jpg,cashew|gummosis,3
Cashew gumosis/gumosis322_.jpg,Cashew gumosis/gumosis323_.jpg,cashew|gummosis,3
Cashew gumosis/gumosis326_.jpg,Cashew gumosis/gumosis327_.jpg,cashew|gummosis,1
Cashew healthy/healthy1129_.jpg,Cashew healthy/healthy1130_.jpg,cashew|healthy,3
Cashew healthy/healthy1131_.jpg,Cashew healthy/healthy1132_.jpg,cashew|healthy,4
Cashew healthy/healthy114_.jpg,Cashew healthy/healthy122_.jpg,cashew|healthy,3
Cashew healthy/healthy1159_.jpg,Cashew healthy/healthy1160_.jpg,cashew|healthy,4
Cashew healthy/healthy122_.jpg,Cashew healthy/healthy123_.jpg,cashew|healthy,4
Cashew healthy/healthy122_.jpg,Cashew healthy/healthy126_.jpg,cashew|healthy,4
Cashew healthy/healthy122_.jpg,Cashew healthy/healthy144_.jpg,cashew|healthy,3
Cashew healthy/healthy122_.jpg,Cashew healthy/healthy147_.jpg,cashew|healthy,3
Cashew healthy/healthy123_.jpg,Cashew healthy/healthy126_.jpg,cashew|healthy,4
Cashew healthy/healthy1256_.jpg,Cashew healthy/healthy1257_.jpg,cashew|healthy,4
Cashew healthy/healthy1325_.jpg,Cashew healthy/healthy1326_.jpg,cashew|healthy,3
Cashew healthy/healthy1327_.jpg,Cashew healthy/healthy1328_.jpg,cashew|healthy,2
Cashew healthy/healthy1347_.jpg,Cashew healthy/healthy1348_.jpg,cashew|healthy,2
Cashew healthy/healthy1355_.jpg,Cashew healthy/healthy1356_.jpg,cashew|healthy,1
Cashew healthy/healthy1361_.jpg,Cashew healthy/healthy1362_.jpg,cashew|healthy,2
Cashew healthy/healthy228_.jpg,Cashew healthy/healthy229_.jpg,cashew|healthy,4
Cashew healthy/healthy273_.jpg,Cashew healthy/healthy279_.jpg,cashew|healthy,3
Cashew healthy/healthy273_.jpg,Cashew healthy/healthy280_.jpg,cashew|healthy,3
Cashew healthy/healthy278_.jpg,Cashew healthy/healthy311_.jpg,cashew|healthy,4
Cashew healthy/healthy280_.jpg,Cashew healthy/healthy282_.jpg,cashew|healthy,4
Cashew healthy/healthy280_.jpg,Cashew healthy/healthy289_.jpg,cashew|healthy,4
Cashew healthy/healthy331_.jpg,Cashew healthy/healthy332_.jpg,cashew|healthy,1
Cashew healthy/healthy391_.jpg,Cashew healthy/healthy393_.jpg,cashew|healthy,4
Cashew healthy/healthy396_.jpg,Cashew healthy/healthy426_.jpg,cashew|healthy,3
Cashew healthy/healthy396_.jpg,Cashew healthy/healthy465_.jpg,cashew|healthy,4
Cashew healthy/healthy406_.jpg,Cashew healthy/healthy544_.jpg,cashew|healthy,4
Cashew healthy/healthy416_.jpg,Cashew healthy/healthy532_.jpg,cashew|healthy,4
Cashew healthy/healthy430_.jpg,Cashew healthy/healthy476_.jpg,cashew|healthy,4
Cashew healthy/healthy451_.jpg,Cashew healthy/healthy501_.jpg,cashew|healthy,1
Cashew healthy/healthy461_.jpg,Cashew healthy/healthy465_.jpg,cashew|healthy,1
Cashew healthy/healthy470_.jpg,Cashew healthy/healthy471_.jpg,cashew|healthy,4
Cashew healthy/healthy484_.jpg,Cashew healthy/healthy493_.jpg,cashew|healthy,4
Cashew healthy/healthy782_.jpg,Cashew healthy/healthy783_.jpg,cashew|healthy,4
Cashew healthy/healthy784_.jpg,Cashew healthy/healthy786_.jpg,cashew|healthy,1
Cashew healthy/healthy784_.jpg,Cashew healthy/healthy787_.jpg,cashew|healthy,2
Cashew healthy/healthy785_.jpg,Cashew healthy/healthy786_.jpg,cashew|healthy,4
Cashew healthy/healthy786_.jpg,Cashew healthy/healthy787_.jpg,cashew|healthy,1
Cashew healthy/healthy792_.jpg,Cashew healthy/healthy793_.jpg,cashew|healthy,4
Cashew healthy/healthy793_.jpg,Cashew healthy/healthy794_.jpg,cashew|healthy,4
Cashew healthy/healthy796_.jpg,Cashew healthy/healthy797_.jpg,cashew|healthy,1
Cashew healthy/healthy798_.jpg,Cashew healthy/healthy799_.jpg,cashew|healthy,3
Cashew healthy/healthy798_.jpg,Cashew healthy/healthy800_.jpg,cashew|healthy,3
Cashew healthy/healthy799_.jpg,Cashew healthy/healthy800_.jpg,cashew|healthy,4
Cashew healthy/healthy811_.jpg,Cashew healthy/healthy812_.jpg,cashew|healthy,3
Cashew healthy/healthy813_.jpg,Cashew healthy/healthy814_.jpg,cashew|healthy,2
Cashew healthy/healthy831_.jpg,Cashew healthy/healthy832_.jpg,cashew|healthy,3
Cashew healthy/healthy834_.jpg,Cashew healthy/healthy835_.jpg,cashew|healthy,4
Cashew healthy/healthy838_.jpg,Cashew healthy/healthy839_.jpg,cashew|healthy,4
Cashew leaf miner/leaf miner1072_.jpg,Cashew leaf miner/leaf miner1073_.jpg,cashew|leaf_miner,3
Cashew leaf miner/leaf miner1103_.jpg,Cashew leaf miner/leaf miner1104_.jpg,cashew|leaf_miner,3
Cashew leaf miner/leaf miner1113_.jpg,Cashew leaf miner/leaf miner1115_.jpg,cashew|leaf_miner,4
Cashew leaf miner/leaf miner1127_.jpg,Cashew leaf miner/leaf miner1128_.jpg,cashew|leaf_miner,4
Cashew leaf miner/leaf miner1135_.jpg,Cashew leaf miner/leaf miner1136_.jpg,cashew|leaf_miner,2
Cashew leaf miner/leaf miner1144_.jpg,Cashew leaf miner/leaf miner1145_.jpg,cashew|leaf_miner,4
Cashew leaf miner/leaf miner1154_.jpg,Cashew leaf miner/leaf miner1155_.jpg,cashew|leaf_miner,2
Cashew leaf miner/leaf miner1185_.jpg,Cashew leaf miner/leaf miner1186_.jpg,cashew|leaf_miner,3
Cashew leaf miner/leaf miner1208_.jpg,Cashew leaf miner/leaf miner1209_.jpg,cashew|leaf_miner,0
Cashew leaf miner/leaf miner1212_.jpg,Cashew leaf miner/leaf miner1213_.jpg,cashew|leaf_miner,3
Cashew leaf miner/leaf miner1231_.jpg,Cashew leaf miner/leaf miner1232_.jpg,cashew|leaf_miner,4
Cashew leaf miner/leaf miner1332_.jpg,Cashew leaf miner/leaf miner1333_.jpg,cashew|leaf_miner,0
Cashew leaf miner/leaf miner1342_.jpg,Cashew leaf miner/leaf miner1343_.jpg,cashew|leaf_miner,1
Cashew leaf miner/leaf miner1350_.jpg,Cashew leaf miner/leaf miner1351_.jpg,cashew|leaf_miner,3
Cashew leaf miner/leaf miner1357_.jpg,Cashew leaf miner/leaf miner1358_.jpg,cashew|leaf_miner,3
Cashew leaf miner/leaf miner1364_.jpg,Cashew leaf miner/leaf miner1365_.jpg,cashew|leaf_miner,4
Cashew leaf miner/leaf miner1364_.jpg,Cashew leaf miner/leaf miner1366_.jpg,cashew|leaf_miner,4
Cashew leaf miner/leaf miner1365_.jpg,Cashew leaf miner/leaf miner1366_.jpg,cashew|leaf_miner,4
Cashew leaf miner/leaf miner1365_.jpg,Cashew leaf miner/leaf miner1367_.jpg,cashew|leaf_miner,4
Cashew leaf miner/leaf miner1368_.jpg,Cashew leaf miner/leaf miner1369_.jpg,cashew|leaf_miner,2
Cashew red rust/red rust125_.jpg,Cashew red rust/red rust126_.jpg,cashew|red_rust,3
Cashew red rust/red rust1279_.jpg,Cashew red rust/red rust1280_.jpg,cashew|red_rust,2
Cashew red rust/red rust1325_.jpg,Cashew red rust/red rust1326_.jpg,cashew|red_rust,2
Cashew red rust/red rust1339_.jpg,Cashew red rust/red rust1340_.jpg,cashew|red_rust,4
Cashew red rust/red rust1345_.jpg,Cashew red rust/red rust1681_.jpg,cashew|red_rust,0
Cashew red rust/red rust1354_.jpg,Cashew red rust/red rust1355_.jpg,cashew|red_rust,1
Cashew red rust/red rust1359_.jpg,Cashew red rust/red rust1360_.jpg,cashew|red_rust,3
Cashew red rust/red rust1377_.jpg,Cashew red rust/red rust1378_.jpg,cashew|red_rust,1
Cashew red rust/red rust1379_.jpg,Cashew red rust/red rust1380_.jpg,cashew|red_rust,3
Cashew red rust/red rust1385_.jpg,Cashew red rust/red rust1386_.jpg,cashew|red_rust,4
Cashew red rust/red rust1413_.jpg,Cashew red rust/red rust1414_.jpg,cashew|red_rust,3
Cashew red rust/red rust1480_.jpg,Cashew red rust/red rust1481_.jpg,cashew|red_rust,4
Cashew red rust/red rust1500_.jpg,Cashew red rust/red rust1501_.jpg,cashew|red_rust,0
Cashew red rust/red rust1572_.jpg,Cashew red rust/red rust1573_.jpg,cashew|red_rust,4
Cashew red rust/red rust1609_.jpg,Cashew red rust/red rust1610_.jpg,cashew|red_rust,2
Cashew red rust/red rust1609_.jpg,Cashew red rust/red rust1611_.jpg,cashew|red_rust,4
Cashew red rust/red rust1610_.jpg,Cashew red rust/red rust1611_.jpg,cashew|red_rust,2
Cashew red rust/red rust1671_.jpg,Cashew red rust/red rust1672_.jpg,cashew|red_rust,4
Cashew red rust/red rust1674_.jpg,Cashew red rust/red rust1675_.jpg,cashew|red_rust,2
Cassava bacterial blight/bacterial blight1003_.jpg,Cassava bacterial blight/bacterial blight1939_.jpg,cassava|bacterial_blight,4
Cassava bacterial blight/bacterial blight1032_.jpg,Cassava bacterial blight/bacterial blight1954_.jpg,cassava|bacterial_blight,4
Cassava bacterial blight/bacterial blight1058_.jpg,Cassava bacterial blight/bacterial blight1362_.jpg,cassava|bacterial_blight,4
Cassava bacterial blight/bacterial blight1066_.jpg,Cassava bacterial blight/bacterial blight1369_.jpg,cassava|bacterial_blight,3
Cassava bacterial blight/bacterial blight1076_.jpg,Cassava bacterial blight/bacterial blight1971_.jpg,cassava|bacterial_blight,1
Cassava bacterial blight/bacterial blight108_.jpg,Cassava bacterial blight/bacterial blight1692_.jpg,cassava|bacterial_blight,2
Cassava bacterial blight/bacterial blight1125_.jpg,Cassava bacterial blight/bacterial blight1408_.jpg,cassava|bacterial_blight,0
Cassava bacterial blight/bacterial blight1126_.jpg,Cassava bacterial blight/bacterial blight1409_.jpg,cassava|bacterial_blight,0
Cassava bacterial blight/bacterial blight1187_.jpg,Cassava bacterial blight/bacterial blight1612_.jpg,cassava|bacterial_blight,0
Cassava bacterial blight/bacterial blight1195_.jpg,Cassava bacterial blight/bacterial blight1493_.jpg,cassava|bacterial_blight,0
