path,crop,class,label,sha256,dhash,duplicate_group,width,height,bytes,split
Cashew leaf miner/leaf miner753_.jpg,cashew,leaf_miner,cashew|leaf_miner,7198856fa0bb85c46daf08ab655e827a061f534925bc12cdb001f79303fdf018,e31c1f436d5f230f,g004592,400.0,400.0,45463,train
Tomato septoria leaf spot/septoria leaf spot2160_-dZ9bhv.jpg,tomato,septoria_leaf_spot,tomato|septoria_leaf_spot,3c755af16b33ac12f1ee8470092493187c498ec1c443ff726e73e95be1123b4f,9c0e267f7f1703c1,g023106,400.0,400.0,40111,train
Cashew leaf miner/leaf miner303_.jpg,cashew,leaf_miner,cashew|leaf_miner,77d791bc51ccc84ba0d548d35e5227228298a3efcee6eef8249bb5b2d61a5936,86170101c0410307,g004093,400.0,400.0,49613,train
Cassava brown spot/brown spot921_.jpg,cassava,brown_spot,cassava|brown_spot,e0710a2e013b9599ce78e175c877e1181e58d728d25d2e06c102ab67eadb38ed,f3e97b77ccc869e9,g010556,400.0,400.0,65405,train
Cassava mosaic/mosaic551_.jpg,cassava,mosaic,cassava|mosaic,5b3e1568b676b7660e7f36969d7083133eb13e7b5c254ef2ae466b386b81d7b3,2361e44eeeed192c,g013558,400.0,400.0,43854,train
Cassava brown spot/brown spot534_.jpg,cassava,brown_spot,cassava|brown_spot,2db49f746e86c83f9df65dd915cccecbc2f95c3dd3a37212469fb56e4cd6d2c9,e1c1e5c5cd4b8f19,g010126,400.0,400.0,57447,train
Tomato leaf blight/leaf blight1095_.jpg,tomato,leaf_blight,tomato|leaf_blight,c20cb681ce1cd8444f851619ffafa264c3959dc9ca66260ef72804561bdbb308,4387172f0b5fdfff,g019916,400.0,400.0,48091,train
Cashew anthracnose/anthracnose253_.jpg,cashew,anthracnose,cashew|anthracnose,762dd96cc795ad87b0598d418b7b0f2bda669afdc979a962d1e633b18514132c,468b111118151d07,g000899,400.0,400.0,55766,train
Tomato leaf blight/leaf blight516_.jpg,tomato,leaf_blight,tomato|leaf_blight,6fa9aff3da491064fdf4de48b1ed7d3b92ee25e9901920f24448e486142540fc,030b172f2f2f0d0f,g020585,400.0,400.0,43119,train
Cassava green mite/green mite223_.jpg,cassava,green_mite,cassava|green_mite,fbc46759235ff35d65da2c52747270c4eb819fbb5008ce41c352f64572713f83,34726ef4e0d00208,g010796,400.0,400.0,57244,train
Cashew red rust/red rust845_.jpg,cashew,red_rust,cashew|red_rust,9ff40748311eb59f82b1e74a06b381c4225d518e1382350d6789433ac25a0ad3,1c1f0b3137171d1f,g006376,400.0,400.0,63646,train
Cashew red rust/red rust463_.jpg,cashew,red_rust,cashew|red_rust,334b215d3ce10fa9fcc596fc4cdcd2dc9e130b64538224e19f0a1f06cd1011e8,072d1903014d1b32,g005952,400.0,400.0,94715,train
Tomato verticulium wilt/verticulium wilt169_.jpg,tomato,verticillium_wilt,tomato|verticillium_wilt,968f8c6105b530977f658fee4c8f1880b9596e626cb61e21b62a88ab130cb9b0,10a1430b3b376e3d,g024443,400.0,400.0,41982,train
Cassava healthy/healthy1010_.jpg,cassava,healthy,cassava|healthy,275e320437e8fa65d42ee7d36e586dd05e6ab36229437dcc29c9c84f9456530f,f30f0f2502c163c3,g011670,400.0,400.0,43368,train
Cassava brown spot/brown spot87_.jpg,cassava,brown_spot,cassava|brown_spot,6fd57d6be21153c4890acf66c37836ab25100c5902a4c5bcbd253652c3d5a531,8787c4e0a6a587ce,g010509,400.0,400.0,65461,train
Cashew anthracnose/anthracnose1424_.jpg,cashew,anthracnose,cashew|anthracnose,4b20099ff97039a02be0f8def4765d35786afa6ad521a5b99c8adb5df1886310,3839eef434a4838f,g000470,400.0,400.0,57230,train
Cashew anthracnose/anthracnose730_.jpg,cashew,anthracnose,cashew|anthracnose,c965be7db8eedfaa7cd57517055eab8bddd94825932df7a24c1328d12a888df9,9305006060210307,g001429,400.0,400.0,55388,train
Tomato septoria leaf spot/septoria leaf spot48_.jpg,tomato,septoria_leaf_spot,tomato|septoria_leaf_spot,925c6a4a812377a16343d981a943c3705053ebcb88bca5ee8b770abc8d72fd8a,a7898262e2da487a,g023833,400.0,400.0,44342,train
Cashew gumosis/gumosis39_.jpg,cashew,gummosis,cashew|gummosis,fed57787f120b9213d50d5dfac7224a8bad4353d6be1f8b3a47b79de6b590845,40029098189821a3,g002053,400.0,400.0,59889,train
Cashew healthy/healthy82_.jpg,cashew,healthy,cashew|healthy,d9d83b863ff5ffbada6b91dab197baf61faa7d6caa3afc55f06bcbc5102e9353,e1e1e1c1e1b17179,g003299,400.0,400.0,39405,train
Cassava brown spot/brown spot141_.jpg,cassava,brown_spot,cassava|brown_spot,aeaecaad584487f292dc489d66312bf7315ffb026cfb447d5375ffbda48828d6,21c79831435dff7f,g009628,400.0,400.0,53827,train
Cassava healthy/healthy348_.jpg,cassava,healthy,cassava|healthy,148d0559100825cf58ccdb436accc098c4fe651d825d30917e2de41ef6454df8,e4783c169b4fa5b3,g011719,400.0,400.0,45029,train
Tomato leaf blight/leaf blight93_.jpg,tomato,leaf_blight,tomato|leaf_blight,ace97293604859981d6e0037da1f53b616298103edd6e703ae1e49dc5c439255,42d8ec68727c3f87,g021034,400.0,400.0,47772,train
Cassava bacterial blight/bacterial blight863_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,a464f1e587cf7963af7e95dc2a991ece6d918801fd973e8025945b5d929ee4e9,4ddb93b0b872343c,g009010,400.0,400.0,42128,train
Cashew red rust/red rust1349_.jpg,cashew,red_rust,cashew|red_rust,768c9b88319833d397d04563356334c20537eb191dab62940ae70e55017d4675,4f5d9d35276d4c5e,g005253,400.0,400.0,93657,train
Tomato septoria leaf spot/septoria leaf spot406_.jpg,tomato,septoria_leaf_spot,tomato|septoria_leaf_spot,176f1e81e1b673f41cbeaa7b980f17210055b71b4d9e268ea908540cb1bfaf07,e6070b0d03030e1d,g023741,400.0,400.0,51982,train
Tomato septoria leaf spot/septoria leaf spot784_.jpg,tomato,septoria_leaf_spot,tomato|septoria_leaf_spot,9fd1d4c21d0c8295109884069cc4e0950a76b6a68d3cea2bbca76b282027da8a,3f3e065b59492b87,g024160,400.0,400.0,52854,train
Tomato septoria leaf spot/septoria leaf spot917_.jpg,tomato,septoria_leaf_spot,tomato|septoria_leaf_spot,e576fe6e451696819ce663a72a7e40eecbbbca0e884739a43f40dff082c9d6ac,0446971b4f252f1e,g024308,400.0,400.0,45784,train
Tomato septoria leaf spot/septoria leaf spot583_.jpg,tomato,septoria_leaf_spot,tomato|septoria_leaf_spot,ac233ea550779dafc7dc0b573cc49bccc3190fe8b5e57fc00f0e1c4f566e54b6,0d4b859b0b373e3d,g023937,400.0,400.0,50085,train
Cashew anthracnose/anthracnose938_.jpg,cashew,anthracnose,cashew|anthracnose,9f91b2d25f709dcd30b34e6f23cf985b4a9211bede78a740e31bafa849203639,8f1b1f0f316967e7,g001659,400.0,400.0,72385,train
Cashew red rust/red rust523_.jpg,cashew,red_rust,cashew|red_rust,515b406a8568378822d9f1d6aaa5d58f6339e6477b85cd18f8b5fb980484f184,1e3f6b65305c3f1f,g006019,400.0,400.0,76068,train
Cassava green mite/green mite441_.jpg,cassava,green_mite,cassava|green_mite,a7eaa8bec067001f825b2d49a55a33286d7d4e017461c51fda79b850d29666f6,56d8f1e8c4e0b282,g011038,400.0,400.0,51268,train
Cassava bacterial blight/bacterial blight1581_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,727e19317c3f6b004a594a6e7d7dbb48808f7295d0f9baf07859e678a7c606c4,874224e0b0b4c549,g007193,400.0,400.0,54841,train
Cassava mosaic/mosaic563_.jpg,cassava,mosaic,cassava|mosaic,0c14b105c88e703f2e84c3421ac50e1209eb1ee31fa0688041946a55e557623d,6264341d4b565d5b,g013571,400.0,400.0,48359,train
Cassava green mite/green mite910_.jpg,cassava,green_mite,cassava|green_mite,c90981fb7ab1f54da8727d2411b839b8f05d161c6cf79ca6b6c61b17bccf0e5a,cf3c70e3e1ad8d54,g011559,400.0,400.0,47367,train
Cashew healthy/healthy518_.jpg,cashew,healthy,cashew|healthy,f817af12a5182f678b60877e54e06f83c793352cf9e21df1670e3d74839076af,cd1e3717131d1f0f,g002953,400.0,400.0,52383,train
Cashew leaf miner/leaf miner931_.jpg,cashew,leaf_miner,cashew|leaf_miner,bd6c629463b46826a471c9df3175ca05d3fb8c7a016c77dc8de9236aa4184972,ac2fcd741f1b0b43,g004790,400.0,400.0,40128,train
Cashew red rust/red rust1234_.jpg,cashew,red_rust,cashew|red_rust,409ca46286c370c1d325413e8c9abf57561edcf0f3daf6ed917e9803dacc9ff3,53d3e3a361604646,g005126,400.0,400.0,96832,train
Cassava brown spot/brown spot1137_.jpg,cassava,brown_spot,cassava|brown_spot,374d87812ef4418764867c83e822868e462e871161a2df88284d6cf663e76e07,3c0f51682212d9cc,g009314,400.0,400.0,38885,train
Cassava green mite/green mite772_.jpg,cassava,green_mite,cassava|green_mite,1b4c544b14d704f8203c6df0e2940d8b4a2cf63b724f1117c6c3f4411369ddbc,3c6dde9636323333,g011405,400.0,400.0,69311,train
Maize leaf spot/leaf spot302_.jpg,maize,leaf_spot,maize|leaf_spot,6a4c50e7d2505c292192907ff2127380f81517c7042a4d5f5d9706ee8ccf929b,06907c0c0c141379,g017626,400.0,400.0,48109,train
Tomato septoria leaf spot/septoria leaf spot1177_.jpg,tomato,septoria_leaf_spot,tomato|septoria_leaf_spot,2418b74032af62d459fba96efd3d5c6d19f8f4b47c00bcb90095ab2460080e2d,ceca72e6ec79d1d2,g021806,400.0,400.0,62892,train
Cassava bacterial blight/bacterial blight1607_.jpg,cassava,bacterial_blight,cassava|bacterial_blight,4a3b7cf557345a4417ebef3654d774a06098761513ff9d2268a98e5a3d2d5d90,1b1f9c9180cad03f,g007222,400.0,400.0,43101,train
