,cashew|anthracnose,cashew|gummosis,cashew|healthy,cashew|leaf_miner,cashew|red_rust,cassava|bacterial_blight,cassava|brown_spot,cassava|green_mite,cassava|healthy,cassava|mosaic,maize|fall_armyworm,maize|grasshopper,maize|healthy,maize|leaf_beetle,maize|leaf_blight,maize|leaf_spot,maize|streak_virus,tomato|healthy,tomato|leaf_blight,tomato|leaf_curl,tomato|septoria_leaf_spot,tomato|verticillium_wilt
cashew|anthracnose,307,0,5,21,8,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
cashew|gummosis,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashew|healthy,8,0,253,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashew|leaf_miner,12,0,4,257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cashew|red_rust,2,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cassava|bacterial_blight,0,0,0,4,0,459,32,9,10,0,1,0,0,0,1,0,0,0,1,1,0,0
cassava|brown_spot,4,0,0,1,0,35,246,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1
cassava|green_mite,0,0,0,0,0,6,2,190,5,2,0,0,0,0,0,0,0,0,0,0,0,0
cassava|healthy,0,0,0,0,0,6,0,7,227,0,0,0,0,0,0,0,0,0,0,0,0,0
cassava|mosaic,0,0,0,1,0,4,3,14,0,204,0,0,0,0,0,0,0,0,0,1,0,0
maize|fall_armyworm,0,0,0,1,0,0,0,0,0,0,48,2,0,0,2,4,1,0,0,0,0,0
maize|grasshopper,0,0,0,0,0,0,0,0,0,0,0,133,0,0,1,0,0,0,0,0,0,0
maize|healthy,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,3,0,0,0,0,0,0
maize|leaf_beetle,0,0,0,0,0,0,0,0,0,0,3,3,1,179,0,0,0,0,0,0,0,0
maize|leaf_blight,0,0,0,0,0,0,0,0,0,0,0,1,0,0,134,13,10,0,0,0,0,0
maize|leaf_spot,0,0,0,0,0,0,0,0,0,0,2,1,23,1,22,148,12,0,0,0,0,0
maize|streak_virus,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3,17,160,0,0,0,0,0
tomato|healthy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0
tomato|leaf_blight,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,139,13,57,48
tomato|leaf_curl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,67,10,7
tomato|septoria_leaf_spot,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0,0,9,53,39,291,62
tomato|verticillium_wilt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,29,104
