,cashew|anthracnose,cashew|gummosis,cashew|healthy,cashew|leaf_miner,cashew|red_rust,cassava|bacterial_blight,cassava|brown_spot,cassava|green_mite,cassava|healthy,cassava|mosaic,maize|fall_armyworm,maize|grasshopper,maize|healthy,maize|leaf_beetle,maize|leaf_blight,maize|leaf_spot,maize|streak_virus,tomato|healthy,tomato|leaf_blight,tomato|leaf_curl,tomato|septoria_leaf_spot,tomato|verticillium_wilt
cashew|anthracnose,0.8898550724637682,0.0,0.014492753623188406,0.06086956521739131,0.02318840579710145,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002898550724637681,0.0,0.0,0.0
cashew|gummosis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cashew|healthy,0.029850746268656716,0.0,0.9440298507462687,0.022388059701492536,0.0,0.0037313432835820895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cashew|leaf_miner,0.04363636363636364,0.0,0.014545454545454545,0.9345454545454546,0.007272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cashew|red_rust,0.005952380952380952,0.0,0.0,0.0,0.9940476190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cassava|bacterial_blight,0.0,0.0,0.0,0.007722007722007722,0.0,0.8861003861003861,0.06177606177606178,0.017374517374517374,0.019305019305019305,0.0,0.0019305019305019305,0.0,0.0,0.0,0.0019305019305019305,0.0,0.0,0.0,0.0019305019305019305,0.0019305019305019305,0.0,0.0
cassava|brown_spot,0.0136986301369863,0.0,0.0,0.003424657534246575,0.0,0.11986301369863013,0.8424657534246576,0.003424657534246575,0.003424657534246575,0.00684931506849315,0.0,0.0,0.0,0.0,0.003424657534246575,0.0,0.0,0.0,0.0,0.0,0.0,0.003424657534246575
cassava|green_mite,0.0,0.0,0.0,0.0,0.0,0.02926829268292683,0.00975609756097561,0.926829268292683,0.024390243902439025,0.00975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cassava|healthy,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.029166666666666667,0.9458333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cassava|mosaic,0.0,0.0,0.0,0.004405286343612335,0.0,0.01762114537444934,0.013215859030837005,0.06167400881057269,0.0,0.8986784140969163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004405286343612335,0.0,0.0
maize|fall_armyworm,0.0,0.0,0.0,0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.8275862068965517,0.034482758620689655,0.0,0.0,0.034482758620689655,0.06896551724137931,0.017241379310344827,0.0,0.0,0.0,0.0,0.0
maize|grasshopper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9925373134328358,0.0,0.0,0.007462686567164179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maize|healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.926829268292683,0.0,0.0,0.07317073170731707,0.0,0.0,0.0,0.0,0.0,0.0
maize|leaf_beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.005376344086021506,0.9623655913978495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maize|leaf_blight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006329113924050633,0.0,0.0,0.8481012658227848,0.08227848101265822,0.06329113924050633,0.0,0.0,0.0,0.0,0.0
maize|leaf_spot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009569377990430622,0.004784688995215311,0.11004784688995216,0.004784688995215311,0.10526315789473684,0.7081339712918661,0.05741626794258373,0.0,0.0,0.0,0.0,0.0
maize|streak_virus,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.00546448087431694,0.0,0.01639344262295082,0.09289617486338798,0.8743169398907104,0.0,0.0,0.0,0.0,0.0
tomato|healthy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
tomato|leaf_blight,0.0,0.0,0.0,0.0,0.0,0.0038314176245210726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.5325670498084292,0.04980842911877394,0.21839080459770116,0.1839080459770115
tomato|leaf_curl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.6979166666666666,0.10416666666666667,0.07291666666666667
tomato|septoria_leaf_spot,0.002173913043478261,0.0,0.0,0.002173913043478261,0.0,0.004347826086956522,0.002173913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002173913043478261,0.0,0.0,0.01956521739130435,0.11521739130434783,0.08478260869565217,0.6326086956521739,0.13478260869565217
tomato|verticillium_wilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087248322147651,0.020134228187919462,0.19463087248322147,0.697986577181208
