,precision,recall,f1-score,support
cashew|anthracnose,0.9191616766467066,0.8898550724637682,0.9042709867452136,345.0
cashew|gummosis,1.0,1.0,1.0,79.0
cashew|healthy,0.9656488549618321,0.9440298507462687,0.9547169811320755,268.0
cashew|leaf_miner,0.8771331058020477,0.9345454545454546,0.9049295774647887,275.0
cashew|red_rust,0.9709302325581395,0.9940476190476191,0.9823529411764705,336.0
cassava|bacterial_blight,0.8878143133462283,0.8861003861003861,0.8869565217391304,518.0
cassava|brown_spot,0.8661971830985915,0.8424657534246576,0.8541666666666666,292.0
cassava|green_mite,0.8597285067873304,0.926829268292683,0.892018779342723,205.0
cassava|healthy,0.934156378600823,0.9458333333333333,0.9399585921325052,240.0
cassava|mosaic,0.9807692307692307,0.8986784140969163,0.9379310344827586,227.0
maize|fall_armyworm,0.8727272727272727,0.8275862068965517,0.8495575221238938,58.0
maize|grasshopper,0.95,0.9925373134328358,0.9708029197080292,134.0
maize|healthy,0.6031746031746031,0.926829268292683,0.7307692307692307,41.0
maize|leaf_beetle,0.9944444444444445,0.9623655913978495,0.9781420765027322,186.0
maize|leaf_blight,0.8121212121212121,0.8481012658227848,0.8297213622291022,158.0
maize|leaf_spot,0.8,0.7081339712918661,0.751269035532995,209.0
maize|streak_virus,0.8743169398907104,0.8743169398907104,0.8743169398907104,183.0
tomato|healthy,0.8198198198198198,1.0,0.900990099009901,91.0
tomato|leaf_blight,0.6587677725118484,0.5325670498084292,0.5889830508474576,261.0
tomato|leaf_curl,0.5403225806451613,0.6979166666666666,0.6090909090909091,96.0
tomato|septoria_leaf_spot,0.751937984496124,0.6326086956521739,0.6871310507674144,460.0
tomato|verticillium_wilt,0.46846846846846846,0.697986577181208,0.5606469002695418,149.0
accuracy,0.8497193930575764,0.8497193930575764,0.8497193930575764,0.8497193930575764
macro avg,0.8367109354941178,0.861969759017493,0.8449419626192841,4811.0
weighted avg,0.8554311180830685,0.8497193930575764,0.849960805437846,4811.0
