index,label,train_count,class_weight
0,cashew|anthracnose,1210,0.6327197595792637
1,cashew|gummosis,274,2.794127405441274
2,cashew|healthy,961,0.7966606754327878
3,cashew|leaf_miner,965,0.793358455016486
4,cashew|red_rust,1175,0.6515667311411992
5,cassava|bacterial_blight,1814,0.4220457051217801
6,cassava|brown_spot,1027,0.7454633973621315
7,cassava|green_mite,709,1.0798179253750482
8,cassava|healthy,834,0.9179747111401788
9,cassava|mosaic,774,0.9891355414611228
10,maize|fall_armyworm,197,3.8862482694970004
11,maize|grasshopper,471,1.6254584057131827
12,maize|healthy,141,5.4297227595099935
13,maize|leaf_beetle,652,1.1742191857222533
14,maize|leaf_blight,548,1.397063702720637
15,maize|leaf_spot,716,1.0692610462163534
16,maize|streak_virus,641,1.194369592965537
17,tomato|healthy,323,2.370250492541514
18,tomato|leaf_blight,898,0.8525511237092529
19,tomato|leaf_curl,366,2.091778440139096
20,tomato|septoria_leaf_spot,1602,0.4778969469980706
21,tomato|verticillium_wilt,545,1.4047539616346956
